Date,Product,Demand,Inventory,Price,Promotion,Festival,Temperature,Month,Weekday,Season
2024-01-01,Saffron,40,310,521,0,0,24,1,Monday,Winter
2024-01-02,Saffron,36,274,524,0,0,28,1,Tuesday,Winter
2024-01-03,Saffron,52,222,601,1,0,20,1,Wednesday,Winter
2024-01-04,Saffron,31,191,537,0,0,29,1,Thursday,Winter
2024-01-05,Saffron,47,957,610,1,0,29,1,Friday,Winter
2024-01-06,Saffron,51,906,498,0,0,27,1,Saturday,Winter
2024-01-07,Saffron,43,863,513,0,0,20,1,Sunday,Winter
2024-01-08,Saffron,52,811,522,1,0,24,1,Monday,Winter
2024-01-09,Saffron,38,773,509,0,0,31,1,Tuesday,Winter
2024-01-10,Saffron,59,714,502,1,0,19,1,Wednesday,Winter
2024-01-11,Saffron,36,678,621,0,0,25,1,Thursday,Winter
2024-01-12,Saffron,30,648,613,0,0,35,1,Friday,Winter
2024-01-13,Saffron,50,598,503,0,0,27,1,Saturday,Winter
2024-01-14,Saffron,42,556,493,0,0,19,1,Sunday,Winter
2024-01-15,Saffron,33,523,463,0,0,33,1,Monday,Winter
2024-01-16,Saffron,36,487,639,0,0,25,1,Tuesday,Winter
2024-01-17,Saffron,55,432,560,1,0,30,1,Wednesday,Winter
2024-01-18,Saffron,30,402,538,0,0,24,1,Thursday,Winter
2024-01-19,Saffron,30,372,585,0,0,28,1,Friday,Winter
2024-01-20,Saffron,42,330,612,0,0,18,1,Saturday,Winter
2024-01-21,Saffron,71,259,477,1,0,24,1,Sunday,Winter
2024-01-22,Saffron,54,205,482,1,0,33,1,Monday,Winter
2024-01-23,Saffron,37,168,486,0,0,20,1,Tuesday,Winter
2024-01-24,Saffron,35,859,484,0,0,18,1,Wednesday,Winter
2024-01-25,Saffron,32,827,450,0,0,22,1,Thursday,Winter
2024-01-26,Saffron,36,791,476,0,0,26,1,Friday,Winter
2024-01-27,Saffron,49,742,512,0,0,24,1,Saturday,Winter
2024-01-28,Saffron,41,701,600,0,0,24,1,Sunday,Winter
2024-01-29,Saffron,40,661,478,0,0,21,1,Monday,Winter
2024-01-30,Saffron,58,603,535,1,0,19,1,Tuesday,Winter
2024-01-31,Saffron,38,565,583,0,0,29,1,Wednesday,Winter
2024-02-01,Saffron,40,525,577,0,0,24,2,Thursday,Winter
2024-02-02,Saffron,50,475,476,1,0,37,2,Friday,Winter
2024-02-03,Saffron,51,424,649,0,0,26,2,Saturday,Winter
2024-02-04,Saffron,51,373,621,0,0,32,2,Sunday,Winter
2024-02-05,Saffron,37,336,629,0,0,34,2,Monday,Winter
2024-02-06,Saffron,39,297,501,0,0,29,2,Tuesday,Winter
2024-02-07,Saffron,31,266,580,0,0,34,2,Wednesday,Winter
2024-02-08,Saffron,37,229,530,0,0,34,2,Thursday,Winter
2024-02-09,Saffron,58,171,536,1,0,22,2,Friday,Winter
2024-02-10,Saffron,39,849,502,0,0,29,2,Saturday,Winter
2024-02-11,Saffron,46,803,632,0,0,28,2,Sunday,Winter
2024-02-12,Saffron,30,773,487,0,0,22,2,Monday,Winter
2024-02-13,Saffron,35,738,588,0,0,33,2,Tuesday,Winter
2024-02-14,Saffron,38,700,573,0,0,23,2,Wednesday,Winter
2024-02-15,Saffron,32,668,597,0,0,21,2,Thursday,Winter
2024-02-16,Saffron,32,636,596,0,0,37,2,Friday,Winter
2024-02-17,Saffron,44,592,617,0,0,24,2,Saturday,Winter
2024-02-18,Saffron,69,523,627,1,0,27,2,Sunday,Winter
2024-02-19,Saffron,39,484,561,0,0,37,2,Monday,Winter
2024-02-20,Saffron,31,453,578,0,0,33,2,Tuesday,Winter
2024-02-21,Saffron,50,403,609,1,0,26,2,Wednesday,Winter
2024-02-22,Saffron,32,371,497,0,0,33,2,Thursday,Winter
2024-02-23,Saffron,54,317,569,1,0,18,2,Friday,Winter
2024-02-24,Saffron,64,253,613,1,0,23,2,Saturday,Winter
2024-02-25,Saffron,47,206,561,0,0,20,2,Sunday,Winter
2024-02-26,Saffron,44,162,643,1,0,20,2,Monday,Winter
2024-02-27,Saffron,38,912,610,0,0,21,2,Tuesday,Winter
2024-02-28,Saffron,33,879,577,0,0,25,2,Wednesday,Winter
2024-02-29,Saffron,42,837,625,1,0,29,2,Thursday,Winter
